सामवेद	सामवेद-१८७५	सामवेद ऋषि-२४४	सामवेद छन्द-५०	सामवेद देवता-५७	सामवेद स्वर-८
६५६	ओ३म् ऋधक्सोम स्वस्तये संजग्मानो दिवा कवे। पवस्व सूर्यो दृशे॥६५६	कश्यपो मारीचः	गायत्री	पवमानः सोमः	षड्जः
६५७	ओ३म् पवमानस्य ते कवे वाजिन्त्सर्गा असृक्षत। अर्वन्तो न श्रवस्यव॥६५७	शतं वैखानसः	गायत्री	पवमानः सोमः	षड्जः
६५८	ओ३म् अच्छा कोशं मधुश्चुतमसृग्रं वारे अव्यये। अवावशन्त धीतय॥६५८	शतं वैखानसः	गायत्री	पवमानः सोमः	षड्जः
६५९	ओ३म् अच्छा समुद्रमिन्दवोऽस्तं गावो न धेनव। अग्मन्नृतस्य योनिमा॥६५९	शतं वैखानसः	गायत्री	पवमानः सोमः	षड्जः
६६०	ओ३म् अग्न आ याहि वीतये गृणानो हव्यदातये। नि होता सत्सि बर्हिषि॥६६०	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
६६१	ओ३म् तं त्वा समिद्भिरङ्गिरो घृतेन वर्धयामसि। बृहच्छोचा यविष्ठ्य॥६६१	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
६६२	ओ३म् स न पृथु श्रवाय्यमच्छा देव विवाससि। बृहदग्ने सुवीर्यम्॥६६२	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
६६३	ओ३म् आ नो मित्रावरुणा घृतैर्गव्यूतिमुक्षतम्। मध्वा रजासि सुक्रतू॥६६३	विश्वामित्रो गाथिनः	गायत्री	मित्रावरुणौ	षड्जः
६६४	ओ३म् उरुशसा नमोवृधा मह्ना दक्षस्य राजथः। द्राघिष्ठाभिः शुचिव्रता॥६६४	विश्वामित्रो गाथिनः	गायत्री	मित्रावरुणौ	षड्जः
६६५	ओ३म् गृणाना जमदग्निना योनावृतस्य सीदतम्। पात सोममृतावृधा॥६६५	विश्वामित्रो गाथिनः जमदग्निर्वा	गायत्री	मित्रावरुणौ	षड्जः
६६६	ओ३म् आ याहि सुषुमा हि त इन्द्र सोमं पिबा इमम्। एदं बर्हि सदो मम॥६६६	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
६६७	ओ३म् आ त्वा ब्रह्मयुजा हरी वहतामिन्द्र केशिना। उप ब्रह्माणि नः शृणु॥६६७	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
६६८	ओ३म् ब्रह्माणस्त्वा युजा वय सोमपामिन्द्र सोमिन। सुतावन्तो हवामहे॥६६८	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
६६९	ओ३म् इन्द्राग्नी आ गत सुतं गीर्भिर्नभो वरेण्यम्। अस्य पातं धियेषिता॥६६९	विश्वामित्रो गाथिनः	गायत्री	इन्द्राग्नी	षड्जः
६७०	ओ३म् इन्द्राग्नी जरितु सचा यज्ञो जिगाति चेतनः। अया पातमिम सुतम्॥६७०	विश्वामित्रो गाथिनः	गायत्री	इन्द्राग्नी	षड्जः
६७१	ओ३म् इन्द्रमग्निं कविच्छदा यज्ञस्य जूत्या वृणे। ता सोमस्येह तृम्पताम्॥६७१	विश्वामित्रो गाथिनः	गायत्री	इन्द्राग्नी	षड्जः
६७२	ओ३म् उच्चा ते जातमन्धसो दिवि सद्भूम्या ददे। उग्र शर्म महि स्रव॥६७२	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
६७३	ओ३म् स न इन्द्राय यज्यवे वरुणाय मरुद्भ्य। वरिवोवित्परि स्रव॥६७३	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
६७४	ओ३म् एना विश्वान्यर्य आ द्युम्नानि मानुषाणाम्। सिषासन्तो वनामहे॥६७४	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
६८२	ओ३म् कया नश्चित्र आ भुवदूती सदावृध सखा। कया शचिष्ठया वृता॥६८२	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
६८३	ओ३म् कस्त्वा सत्यो मदानां महिष्ठो मत्सदन्धसः। दृढा चिदारुजे वसु॥६८३	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
६८४	ओ३म् अभी षु ण सखीनामविता जरितॄणाम्। शतं भवास्यूतये॥६८४	वामदेवो गौतमः	पादनिचृत् (गायत्री)	इन्द्रः	षड्जः
६८९	ओ३म् स्वादिष्ठया मदिष्ठया पवस्व सोम धारया। इन्द्राय पातवे सुत॥६८९	मधुच्छन्दा वैश्वामित्रः	गायत्री	पवमानः सोमः	षड्जः
६९०	ओ३म् रक्षोहा विश्वचर्षणिरभि योनिमयोहते। द्रोणे सधस्थमासदत्॥६९०	मधुच्छन्दा वैश्वामित्रः	गायत्री	पवमानः सोमः	षड्जः
६९१	ओ३म् वरिवोधातमो भुवो महिष्ठो वृत्रहन्तमः। पर्षि राधो मघोनाम्॥६९१	मधुच्छन्दा वैश्वामित्रः	गायत्री	पवमानः सोमः	षड्जः
६९८	ओ३म् यो धारया पावकया परिप्रस्यन्दते सुत। इन्दुरश्वो न कृत्व्य॥६९८	अन्धीगुः श्यावाश्विः	गायत्री	पवमानः सोमः	षड्जः
६९९	ओ३म् तं दुरोषमभी नर सोमं विश्वाच्या धिया। यज्ञाय सन्त्वद्रयः॥६९९	अन्धीगुः श्यावाश्विः	गायत्री	पवमानः सोमः	षड्जः
७०५	ओ३म् एह्यू षु ब्रवाणि तेऽग्न इत्थेतरा गिर। एभिर्वर्धास इन्दुभिः॥७०५	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
७०६	ओ३म् यत्र क्व च ते मनो दक्षं दधस उत्तरम्। तत्रा योनिं कृणवसे॥७०६	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
७०७	ओ३म् न हि ते पूर्तमक्षिपद्भुवन्नेमानां पते। अथा दुवो वनवसे॥७०७	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
७१४	ओ३म् पुरुहूतं पुरुष्टुतं गाथान्या३सनश्रुतम्। इन्द्र इति ब्रवीतन॥७१४	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७१५	ओ३म् इन्द्र इन्नो महोनां दाता वाजानां नृतु। महा अभिज्ञ्वा यमत्॥७१५	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७१६	ओ३म् प्र व इन्द्राय मादन हर्यश्वाय गायत। सखायः सोमपाव्ने॥७१६	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७१७	ओ३म् शसेदुक्थ सुदानव उत द्युक्षं यथा नर। चकृमा सत्यराधसे॥७१७	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७१८	ओ३म् त्वं न इन्द्र वाजयुस्त्वं गव्यु शतक्रतो। त्व हिरण्ययुर्वसो॥७१८	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७१९	ओ३म् वयमु त्वा तदिदर्था इन्द्र त्वायन्त सखायः। कण्वा उक्थेभिर्जरन्ते॥७१९	मेधातिथिः काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२०	ओ३म् न घेमन्यदा पपन वज्रिन्नपसो नविष्टौ। तवेदु स्तोमैश्चिकेत॥७२०	मेधातिथिः काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२१	ओ३म् इच्छन्ति देवा सुन्वन्तं न स्वप्नाय स्पृहयन्ति। यन्ति प्रमादमतन्द्राः॥७२१	मेधातिथिः काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२२	ओ३म् इन्द्राय मद्व्ने सुतं परि ष्टोभन्तु नो गिर। अर्कमर्च्चन्तु कारव॥७२२	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२३	ओ३म् यस्मिन्विश्वा अधि श्रियो रणन्ति सप्त ससद। इन्द्र सुते हवामहे॥७२३	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२४	ओ३म् त्रिकद्रुकेषु चेतनं देवासो यज्ञमत्नत। तमिद्वर्धन्तु नो गिर॥७२४	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
७२५	ओ३म् अयं त इन्द्र सोमो निपूतो अधि बर्हिषि। एहीमस्य द्रवा पिब॥७२५	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
७२६	ओ३म् शाचिगो शाचिपूजनाय रणाय ते सुत। आखण्डल प्र हूयसे॥७२६	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
७२७	ओ३म् यस्ते शृङ्गवृषो णपात्प्रणपात्कुण्डपाय्य। न्यस्मिं दध्र आ मन॥७२७	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
७२८	ओ३म् आ तू न इन्द्र क्षुमन्तं चित्रं ग्राभ सं गृभाय। महाहस्ती दक्षिणेन॥७२८	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
७२९	ओ३म् विद्मा हि त्वा तुविकूर्मिं तुविदेष्णं तुवीमघम्। तुविमात्रमवोभिः॥७२९	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
७३०	ओ३म् न हि त्वा शूर देवा न मर्तासो दित्सन्तम्। भीमं न गां वारयन्ते॥७३०	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
७३१	ओ३म् अभि त्वा वृषभा सुते सुत सृजामि पीतये। तृम्पा व्यश्नुही मदम्॥७३१	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
७३२	ओ३म् मा त्वा मूरा अविष्यवो मोपहस्वान आ दभन्। मा कीं ब्रह्मद्विषं वनः॥७३२	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
७३३	ओ३म् इह त्वा गोपरीणसं महे मन्दन्तु राधसे। सरो गौरो यथा पिब॥७३३	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
७३४	ओ३म् इदम् वसो सुतमन्ध पिबा सुपूर्णमुदरम्। अनाभयिन्ररिमा ते॥७३४	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७३५	ओ३म् नृभिर्धौत सुतो अश्नैरव्या वारै परिपूतः। अश्वो न निक्तो नदीषु॥७३५	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७३६	ओ३म् तं ते यवं यथा गोभि स्वादुमकर्म श्रीणन्त। इन्द्र त्वास्मिंत्सधमादे॥७३६	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
७३७	ओ३म् इद ह्यन्वोजसा सुत राधानां पते। पिबा त्वा३स्य गिर्वणः॥७३७	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	षड्जः
७३८	ओ३म् यस्ते अनु स्वधामसत्सुते नि यच्छ तन्वम्। स त्वा ममत्तु सोम्य॥७३८	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	षड्जः
७३९	ओ३म् प्र ते अश्नोतु कुक्ष्यो प्रेन्द्र ब्रह्मणा शिर। प्र बाहू शूर राधसा॥७३९	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	षड्जः
७४०	ओ३म् आ त्वेता नि षीदतेन्द्रमभि प्र गायत। सखाय स्तोमवाहसः॥७४०	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
७४१	ओ३म् पुरूतमं पुरूणामीशानं वार्याणाम्। इन्द्र सोमे सचा सुते॥७४१	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
७४२	ओ३म् स घा नो योग आ भुवत्स राये स पुरन्ध्या। गमद्वाजेभिरा स न॥७४२	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
७४३	ओ३म् योगेयोगे तवस्तरं वाजेवाजे हवामहे। सखाय इन्द्रमूतये॥७४३	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
७४४	ओ३म् अनु प्रत्नस्यौकसो हुवे तुविप्रतिं नरम्। यं ते पूर्वं पिता हुवे॥७४४	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
७४५	ओ३म् आ घा गमद्यदि श्रवत्सहस्रिणीभिरूतिभि। वाजेभिरुप नो हवम्॥७४५	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
७५५	ओ३म् अस्य प्रत्नामनु द्युत शुक्रं दुदुह्रे अह्रयः। पय सहस्रसामृषिम्॥७५५	अवत्सारः काश्यपः	गायत्री	पवमानः सोमः	षड्जः
७५६	ओ३म् अय सूर्य इवोपदृगय सरासि धावति। सप्त प्रवत आ दिवम्॥७५६	अवत्सारः काश्यपः	गायत्री	पवमानः सोमः	षड्जः
७५७	ओ३म् अयं विश्वानि तिष्ठति पुनानो भुवनोपरि। सोमो देवो न सूर्य॥७५७	अवत्सारः काश्यपः	गायत्री	पवमानः सोमः	षड्जः
७५८	ओ३म् एष प्रत्नेन जन्मना देवो देवेभ्य सुत। हरि पवित्रे अर्षति॥७५८	शुनः शेप आजीगर्तिः	गायत्री	पवमानः सोमः	षड्जः
७५९	ओ३म् एष प्रत्नेन मन्मना देवो देवेभ्यस्परि। कविर्विप्रेण वावृधे॥७५९	मेध्यातिथिः काण्वः	गायत्री	पवमानः सोमः	षड्जः
७६०	ओ३म् दुहान प्रत्नमित्पय पवित्रे परि षिच्यसे। क्रन्दं देवा अजीजनः॥७६०	मेध्यातिथिः काण्वः	गायत्री	पवमानः सोमः	षड्जः
७६१	ओ३म् उप शिक्षापतस्थुषो भियसमा धेहि शत्रवे। पवमान विदा रयिम्॥७६१	असितः काश्यपो देवलो वा	गायत्री	पवमानः सोमः	षड्जः
७६२	ओ३म् उपो षु जातमप्तुरं गोभिर्भङ्गं परिष्कृतम्। इन्दुं देवा अयासिषुः॥७६२	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
७६३	ओ३म् उपास्मै गायता नर पवमानायेन्दवे। अभि देवा इयक्षते॥७६३	असितः काश्यपो देवलो वा	गायत्री	पवमानः सोमः	षड्जः
७६४	ओ३म् प्र सोमासो विपश्चितोऽपो नयन्त ऊर्मय। वनानि महिषा इव॥७६४	त्रित आप्तयः	गायत्री	पवमानः सोमः	षड्जः
७६५	ओ३म् अभि द्रोणानि बभ्रव शुक्रा ऋतस्य धारया। वाजं गोमन्तमक्षरन्॥७६५	त्रित आप्तयः	गायत्री	पवमानः सोमः	षड्जः
७६६	ओ३म् सुता इन्द्राय वायवे वरुणाय मरुद्भ्य। सोमा अर्षन्तु विष्णवे॥७६६	त्रित आप्तयः	गायत्री	पवमानः सोमः	षड्जः
७६९	ओ३म् प्र सोमासो मदच्युतः श्रवसे नो मघोनाम्। सुता विदथे अक्रमुः॥७६९	श्यावाश्वः आत्रेयः	गायत्री	पवमानः सोमः	षड्जः
७७०	ओ३म् आदी हसो यथा गणं विश्वस्यावीवशन्मतिम्। अत्यो न गोभिरज्यते॥७७०	श्यावाश्वः आत्रेयः	गायत्री	पवमानः सोमः	षड्जः
७७१	ओ३म् आदीं त्रितस्य योषणो हरि हिन्वन्त्यद्रिभिः। इन्दुमिन्द्राय पीतये॥७७१	श्यावाश्वः आत्रेयः	गायत्री	पवमानः सोमः	षड्जः
७७५	ओ३म् पवस्व वाचो अग्रिय सोम चित्राभिरूतिभि। अभि विश्वानि काव्या॥७७५	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
७७६	ओ३म् त्व समुद्रिया अपोऽग्रियो वाच ईरयन्। पवस्व विश्वचर्षणे॥७७६	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
७७७	ओ३म् तुभ्येमा भुवना कवे महिम्ने सोम तस्थिरे। तुभ्यं धावन्ति धेनव॥७७७	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
७७८	ओ३म् पवस्वेन्दो वृषा सुत कृधी नो यशसो जने। विश्वा अप द्विषो जहि॥७७८	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
७७९	ओ३म् यस्य ते सख्ये वय सासह्याम पृतन्यत। तवेन्दो द्युम्न उत्तमे॥७७९	अहमीयुरांगिरसः	गायत्री	पवमानः सोमः	षड्जः
